Reporter REF	Unknown:VALUE	Unknown:VALUE	Unknown:VALUE	Unknown:VALUE	Unknown:VALUE	Unknown:VALUE
A_23_P100001	-1.0539	-0.5100785579	-0.980369	-0.2315800727	0.745879	-0.5267356319
A_23_P100011	0.25923	-0.08022954041	0.39224	-0.5602035499	-0.250559	-0.5460847936
A_23_P100022	0.0681646	-0.4498261571	0.18529	-0.7531542166	-0.225941	-1.041876954
A_23_P100056	-0.592247	0.04229254472	-0.176686	0.3960172325	0.685393	0.4892804987
A_23_P100074	0.0167645	0.09110459737	-0.27363	0.2354290954	0.214054	0.2894777462
A_23_P100092	0.241895	-0.2717585015	0.103403	0.02079730258	0.0380089	0.2413797966
A_23_P100103	0.144012	0.08264948125	0.0350153	-0.1603088137	-0.130296	0.2451431935
A_23_P100111	-0.18445	-0.06870327371	0.0277048	0.007599630889	0.0779993	0.06808682493
A_23_P100127	-0.100782	0	0.402703	0.2107045534	-0.0299154	0
A_23_P100133	0.12624	-0.1384688373	-0.0249732	-0.2199608062	0.005226	-0.05001887674
A_23_P100141	-0.0237775	0.4047099976	0.0450241	-0.02117765347	-0.144925	-0.1066522742
A_23_P100156	0.173705	-0.06720865369	0.275676	-0.1433304026	-0.268603	-0.2077688069
A_23_P100177	-0.0449584	0.04990741641	-0.0687733	-0.03036262446	-0.263653	0.4478219417
A_23_P100189	-0.00398148	-0.1006145218	0.0334442	-0.03683681746	-0.269972	-0.04653126969
A_23_P100196	0.231053	0.04411174829	0.148791	-0.5447125617	-0.216208	-0.374581444
A_23_P100203	-0.0732315	0.004983745586	-0.16208	-0.1108678741	0.28271	0.09907207992
A_23_P100220	-0.122398	-0.3106077775	0.220219	-0.06877175302	0.101908	-0.1934422981
A_23_P100240	-0.199612	-0.01526488048	-0.380065	0.04612603563	-0.472205	0.1451120908
A_23_P10025	-0.138814	-0.7626500124	-0.379838	-1.153361925	0.414466	-1.222454184
A_23_P100263	-0.0400872	-0.00772738318	-0.0703286	0.09021821618	0.0905864	0.007810923364
A_23_P100278	-0.0452221	-0.3680613312	0.276097	0.03771087161	0.0388712	-0.007255613636
A_23_P100292	-0.0366285	0.1031861812	0.0930768	0.1625424729	0.0569076	0.1310349961
A_23_P100315	-0.228709	0.03944098655	-0.0407958	0.1150929446	0.099731	0.09357324248
A_23_P100326	-0.13304	-0.07088783428	0.153324	0.003407940762	0.156512	-0.1237538149
A_23_P100341	0.0869702	0.1689436482	0.323177	-0.1596010475	-0.595947	-0.4041498645
A_23_P100344	0.095373	-0.02371105627	0.0320142	0.01822808216	-0.14872	-0.07906530433
A_23_P100355	0.114647	-0.3405754701	0.0945631	-0.1349327032	0.0275618	-0.06885423156
A_23_P100386	-0.0504328	-0.1312680623	0.132203	0.05956381711	-0.185927	0.001069884251
A_23_P100392	0.0987416	-0.1328925824	0.248148	0.1781018434	0.052143	-0.1563372229
A_23_P100408	0.0458479	-0.05565083273	-0.0377298	0.06120413382	-0.161327	-0.01707895672
A_23_P100413	-0.080006	0.1107800951	0.0173818	0.1934899483	-0.0705245	0.172737362
A_23_P100420	-0.0131584	0.09933085993	-0.0585569	-0.1568105319	-0.115363	-0.1765535795
A_23_P100441	0.110608	0.1911338988	0.242141	0.1225128441	0.0204979	0.1174688585
A_23_P100455	-0.124626	-0.3466483038	-0.244007	0.109618719	0.349597	0.01460291285
A_23_P100469	0.0299876	0.05574216786	0.0279467	-0.09386644122	0.306607	0.05598386009
A_23_P100478	0.201823	0.02014204026	0.422773	-0.1028425589	0.0300852	-0.1451621924
A_23_P100486	-0.067671	-0.01086853932	-0.38824	0.3056314124	0.152479	0.1608017957
A_23_P100499	0.0291353	-0.3964977389	0.315208	-0.3597425395	-0.255821	-0.1699775593
A_23_P100501	-0.0075059	-0.0006893163648	-0.0188858	0.1232013128	-0.0337259	0.006220738649
A_23_P100517	0.159485	-0.1137637864	-0.24516	-0.06900735548	-0.112287	-0.1014957797
A_23_P100522	0.00114747	0.2756101165	0.33322	-0.1484066183	-0.601598	-0.4867418752
A_23_P100539	-0.449499	-0.1826523134	-0.323912	-0.05727106814	0.148243	-0.003959291714
A_23_P100556	-0.0731594	0.05465419287	-0.0201012	0.2248375497	0.299634	0.2653823784
