Scan_REF	PA	PB	PC	PD	PE	PG
GEN_1	0	0	0	0	0	0
GEN_2	0	0	0	0.2	0.2	0.2
GEN_3	0	0	0	0.4	0.4	0.4
GEN_4	0	0	0	0.6	0.6	0.6
GEN_5	0	0	0	0.8	0.8	0.8
GEN_6	0	0	0	1	1	1
GEN_7	0.2	0.2	0.2	1	1	1
GEN_8	0.5	0.5	0.5	1	1	1
GEN_9	-0.100782	0	0.402703	0.2107045534	-0.0299154	0
GEN_10	0.12624	-0.1384688373	-0.0249732	-0.2199608062	0.005226	-0.05001887674
GEN_11	-0.0237775	0.4047099976	0.0450241	-0.02117765347	-0.144925	-0.1066522742
GEN_12	0.173705	-0.06720865369	0.275676	-0.1433304026	-0.268603	-0.2077688069
GEN_13	-0.0449584	0.04990741641	-0.0687733	-0.03036262446	-0.263653	0.4478219417
GEN_14	-0.00398148	-0.1006145218	0.0334442	-0.03683681746	-0.269972	-0.04653126969
GEN_15	0.231053	0.04411174829	0.148791	-0.5447125617	-0.216208	-0.374581444
GEN_16	-0.0732315	0.004983745586	-0.16208	-0.1108678741	0.28271	0.09907207992
GEN_17	-0.1	-0.1	-0.1	-0.9	-0.9	-0.9
GEN_18	-0.199612	-0.01526488048	-0.380065	0.04612603563	-0.472205	0.1451120908
GEN_19	-0.138814	-0.7626500124	-0.379838	-1.153361925	0.414466	-1.222454184
